country_code,year,PIB,country_name,continent_name,pop_active,pop_total,earth_footprint,IHD,pib_per_capta,measure,energy_value,earth_footprint_continent_mean_on_year,pop_active_continent_mean_on_year,pop_total_continent_mean_on_year,IHD_continent_mean_on_year,pib_per_capta_continent_mean_on_year,energy_value_continent_mean_on_year
MLT,1990,2547163582.33149,Malta,Europe,135632,354170,2.582351115355681,0.74,7191.923602596183,PC_PRYENRGSUPPLY,0,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
MMR,1990,NA,Myanmar,Asia,19068155,41335199,0.3998997490836612,0.359,NA,PC_PRYENRGSUPPLY,85.43,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
MNG,1990,2560785660,Mongolia,Asia,738309,2184145,2.810176506773848,0.579,1172.4430658220951,PC_PRYENRGSUPPLY,2.25,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
MOZ,1990,2512079324.07706,Mozambique,Africa,5856315,12987292,0.4131774593259297,0.209,193.42595239077247,PC_PRYENRGSUPPLY,94.3,NA,4283725.828571429,12017959.885714285,0.4154857142857143,NA,NA
MRT,1990,1019600785.27212,Mauritania,Africa,571185,2034346,1.1054096882752162,0.374,501.1933984052467,NA,NA,NA,4283725.828571429,12017959.885714285,0.4154857142857143,NA,NA
MUS,1990,2653480001.34558,Mauritius,Africa,447400,1058775,1.1094544527628154,0.619,2506.1793122670824,NA,NA,NA,4283725.828571429,12017959.885714285,0.4154857142857143,NA,NA
MWI,1990,1880771556.30474,Malawi,Africa,4023740,9404500,0.33685298902266875,0.34,199.98634231535328,NA,NA,NA,4283725.828571429,12017959.885714285,0.4154857142857143,NA,NA
MYS,1990,44024178343.0071,Malaysia,Asia,7073130,18029824,1.2830157517307061,0.643,2441.741990548943,PC_PRYENRGSUPPLY,10.11,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
NAM,1990,2785764518.01845,Namibia,Africa,447346,1432905,0.9202530348043443,0.579,1944.1376211391892,PC_PRYENRGSUPPLY,NA,NA,4283725.828571429,12017959.885714285,0.4154857142857143,NA,NA
NER,1990,2480673194.99252,Niger,Africa,3273741,8026591,0.7495331278124928,0.21,309.0568829273249,PC_PRYENRGSUPPLY,NA,NA,4283725.828571429,12017959.885714285,0.4154857142857143,NA,NA
NIC,1990,1009455483.87097,Nicaragua,North America,1363140,4173434,0.7825321836979511,0.489,241.8764700414503,PC_PRYENRGSUPPLY,70.38,NA,12108161.125,26210511.6875,0.626875,4749.58475050836,NA
NLD,1990,318330511920.61,Netherlands,Europe,6911900,14951510,2.866640863399607,0.829,21290.86038270449,PC_PRYENRGSUPPLY,1.15,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
NOR,1990,119791683307.507,Norway,Europe,2147920,4241473,3.1693818071962427,0.85,28242.943738533053,PC_PRYENRGSUPPLY,54.09,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
NPL,1990,3627562402.66027,Nepal,Asia,9341929,18905478,0.4005126725245905,0.378,191.8789042340146,PC_PRYENRGSUPPLY,95.02,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
NZL,1990,45495129385.0475,New Zealand,Oceania,1621375,3329800,2.8598518769207355,0.818,13663.021618429786,PC_PRYENRGSUPPLY,32.91,1.6413730980372914,NA,3720647.285714286,0.6564285714285715,NA,NA
PAK,1990,40010424928.715,Pakistan,Asia,31103581,107647921,0.36706362382770197,0.404,371.6785661723555,PC_PRYENRGSUPPLY,47.14,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
PAN,1990,6433967000,Panama,North America,928375,2470947,1.0727014088309352,0.66,2603.8466223678615,PC_PRYENRGSUPPLY,41.07,NA,12108161.125,26210511.6875,0.626875,4749.58475050836,NA
PER,1990,26410386669.3609,Peru,South America,7876949,22071433,0.829395343482924,0.611,1196.5868581963346,PC_PRYENRGSUPPLY,36.72,1.2535219362988823,10778954.909090908,26806842.818181816,0.622,2013.1126470431532,NA
PHL,1990,44311593755.7845,Philippines,Asia,22744896,61895160,0.5748712084830399,0.586,715.9137120864459,PC_PRYENRGSUPPLY,56.92,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
PNG,1990,3219730364.99623,Papua New Guinea,Oceania,1948903,4615839,0.7836956235481323,0.38,697.5395729782235,NA,NA,1.6413730980372914,NA,3720647.285714286,0.6564285714285715,NA,NA
POL,1990,65977749036.9844,Poland,Europe,17624617,38110782,2.214418590968427,0.712,1731.2095311238797,PC_PRYENRGSUPPLY,1.53,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
PRT,1990,78721607509.4923,Portugal,Europe,4759568,9983218,2.026761881615373,0.711,7885.3940191922375,PC_PRYENRGSUPPLY,19.53,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
PRY,1990,5812114523.02702,Paraguay,South America,1708577,4223415,1.7710827955996167,0.58,1376.164673144131,PC_PRYENRGSUPPLY,148.56,1.2535219362988823,10778954.909090908,26806842.818181816,0.622,2013.1126470431532,NA
QAT,1990,7360439423.07692,Qatar,Asia,275997,476278,3.4532337052998563,0.754,15454.082328129622,PC_PRYENRGSUPPLY,0,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
